#Exudyn implicit second order time integration solver solution file
#simulation started=2025-11-03,11:45:45
#columns contain: time, ODE2 displacements, ODE2 velocities, ODE2 accelerations, ODE1 coordinates, ODE1 velocities, AE coordinates
#number of system coordinates [nODE2, nODE1, nAlgebraic, nData] = [33,2,18,0]
#number of written coordinates [nODE2, nVel2, nAcc2, nODE1, nVel1, nAlgebraic, nData] = [33,33,33,2,2,18,0]
#total columns exported  (excl. time) = 121
#number of time steps (planned) = 3200
#Exudyn version = 1.10.0; Python3.12.9; Windows AVX2 FLOAT64
#
0,-2.103021316e-27,-1.733548225e-26,3.121488068e-29,1.570020688e-32,-7.319343972e-30,4.586351034e-31,1.106147267e-26,5.38668561e-18,-9.829112804e-18,1.084202172e-18,-3.304358014e-08,8.085118383e-29,-9.955014614e-33,1.481033672e-05,-1.20281797e-05,-8.526835027e-06,1.16771896e-06,8.79786839e-06,-3.97576808e-07,0.0001024236313,2.913235886e-05,-0.005467355296,8.490034603e-06,-1.700527273e-07,6.925088187e-06,0.003682626332,-1.255009567e-07,-7.080356756e-05,-3.485842347e-10,-5.803352822e-07,5.097838942e-05,-0.005382764754,8.490034603e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.145555822e-14,1.803745281e-13,-1.979662994e-15,3.674968609e-45,5.020898899e-16,5.73971851e-42,1.75162308e-46,1.145555822e-14,1.071309936e-13,-2.745869977e-15,4.810584634e-12,2.657326692e-18,-2.922341275e-18,-2.149001077e-09,4.20106513e-10,1.339057204e-09,-5.45002511e-13,-2.218129304e-11,-4.981541088e-12,-3.424914901e-09,-3.040924949e-10,1.224956399e-08,5.156271061e-15,3.901811146e-12,-1.030629607e-12,-4.305157272e-09,-1.495640338e-12,1.493670672e-10,-2.155303813e-12,3.168142328e-11,-5.82611977e-13,1.034550223e-13,-1.60666779e-16,8191634.507,8000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,-2.140887078e-27,-1.728636179e-26,3.121488122e-29,1.570020686e-32,-7.31934441e-30,4.586351109e-31,1.106147267e-26,5.38668561e-18,-9.829112804e-18,1.084202172e-18,-3.304358014e-08,8.085118515e-29,-9.618735257e-33,1.481033672e-05,-1.20281797e-05,-8.526835027e-06,1.16771896e-06,8.79786839e-06,-3.97576808e-07,0.0001024236313,2.913235886e-05,-0.005467355296,8.490034603e-06,-1.700527273e-07,6.925088187e-06,0.003682626332,-1.255009567e-07,-7.080356756e-05,-3.485842347e-10,-5.803352822e-07,5.097838942e-05,-0.005382764754,8.490034603e-06,-1.399580128e-26,4.85392278e-27,9.629649722e-35,-7.877945547e-39,-3.611118646e-34,1.43492962e-44,-2.160779687e-33,-1.65167752e-30,-7.906635756e-28,-1.011113221e-33,-3.695020082e-19,-6.509417517e-34,1.345036371e-31,1.65065156e-16,-4.281015048e-17,-9.810353664e-17,-6.888838456e-19,-7.362264895e-18,2.834091824e-18,3.737227254e-16,9.720603182e-17,-8.385494784e-16,-8.169645233e-20,-6.363289707e-18,3.343797171e-18,4.94727121e-16,1.415436067e-18,-4.476043526e-16,-8.858395132e-19,5.59333698e-18,7.34254866e-17,1.026312516e-16,-8.169645233e-20,1.145555821e-14,1.803745281e-13,-1.979662994e-15,-3.151178215e-36,5.020898899e-16,-1.203378272e-33,-2.592935624e-30,1.145555822e-14,1.071309936e-13,-2.745869977e-15,4.809902404e-12,2.657326692e-18,-2.922341275e-18,-2.148696308e-09,4.200370626e-10,1.338898172e-09,-5.459746494e-13,-2.219114634e-11,-4.978119831e-12,-3.424301385e-09,-3.03976593e-10,1.224782598e-08,5.163589704e-15,3.892392514e-12,-1.028164855e-12,-4.304217153e-09,-1.495221353e-12,1.488832455e-10,-2.156105367e-12,3.168440106e-11,-5.097672355e-13,1.02915739e-13,-1.533481357e-16,8191634.507,8000000,-1.276035841e-08,4.362371945e-09,-5.642750055e-20,-6.236004354e-11,2.947320655e-11,-3800.935945,8.391274486e-12,-0.08000603221,-7.021996959e-13,6258.973362,986.8067487,18299.77021,46.57083855,11.89110272,-48.56678455,0,1.020812392e-10,-1961.32,3.066962715e-14,0
0.02,-2.205867413e-27,-1.728057013e-26,3.121488122e-29,1.570020682e-32,-7.319346667e-30,4.586350996e-31,1.106147268e-26,5.38668561e-18,-9.829112804e-18,1.084202172e-18,-3.304358014e-08,8.085118387e-29,-8.946290775e-33,1.481033672e-05,-1.20281797e-05,-8.526835027e-06,1.16771896e-06,8.79786839e-06,-3.97576808e-07,0.0001024236313,2.913235886e-05,-0.005467355296,8.490034603e-06,-1.700527273e-07,6.925088187e-06,0.003682626332,-1.255009567e-07,-7.080356756e-05,-3.485842347e-10,-5.803352822e-07,5.097838942e-05,-0.005382764754,8.490034603e-06,1.614196227e-27,-2.418474972e-27,9.629649722e-35,-7.877945547e-39,-6.018531076e-35,4.512668533e-36,6.842277658e-49,-1.650907148e-30,1.120507582e-27,1.925929944e-34,-4.924905648e-19,-6.515530088e-34,1.344888259e-31,2.200070312e-16,-5.213269142e-17,-1.210755039e-16,-1.027250534e-18,-8.764874705e-18,2.325700512e-18,4.544362852e-16,6.82695087e-17,-1.091830554e-15,-7.86174753e-20,-5.302074287e-18,3.641257973e-18,6.240470156e-16,4.097904383e-18,-4.06066796e-16,-2.275502221e-19,1.839319753e-17,3.645859109e-17,1.623471661e-16,-7.86174753e-20,1.145555821e-14,1.803745281e-13,-1.979662994e-15,-9.453534652e-36,5.020898899e-16,4.211823951e-33,-5.185871248e-30,1.145555822e-14,1.071309936e-13,-2.745869977e-15,4.809140925e-12,2.657326692e-18,-2.922341274e-18,-2.148356138e-09,4.199594882e-10,1.338720001e-09,-5.473236932e-13,-2.220423182e-11,-4.974077595e-12,-3.423626625e-09,-3.03847543e-10,1.224587332e-08,5.190078658e-15,3.882383303e-12,-1.021242414e-12,-4.302872226e-09,-1.490003651e-12,1.480561953e-10,-2.156963409e-12,3.170363339e-11,-4.287186768e-13,8.954746524e-14,-1.268591821e-16,8191634.507,8000000,-9.842092186e-08,3.364706964e-08,-5.642750055e-20,-6.235875791e-11,1.212597179e-11,-3800.935945,8.391274486e-12,-0.08000603221,-6.923495242e-13,6258.973362,986.8067487,18299.77021,46.57083855,11.89110272,-48.56678455,0,8.582106643e-11,-1961.32,2.537183641e-14,0
0.03,-2.202724572e-27,-1.722039541e-26,3.121488122e-29,1.570020678e-32,-7.319346667e-30,4.586351259e-31,1.106147268e-26,5.38668561e-18,-9.829112804e-18,1.084202172e-18,-3.304358014e-08,8.08511826e-29,-8.273949148e-33,1.481033672e-05,-1.20281797e-05,-8.526835027e-06,1.16771896e-06,8.79786839e-06,-3.97576808e-07,0.0001024236313,2.913235886e-05,-0.005467355296,8.490034603e-06,-1.700527273e-07,6.925088187e-06,0.003682626332,-1.255009567e-07,-7.080356756e-05,-3.485842347e-10,-5.803352822e-07,5.097838942e-05,-0.005382764754,8.490034603e-06,3.115955701e-27,5.353191614e-28,9.629649722e-35,-7.877945547e-39,-6.018531076e-35,3.008445693e-36,6.842277658e-49,-1.650907148e-30,-6.900714843e-28,1.925929944e-34,-4.745727835e-19,-2.663200001e-34,1.344715696e-31,2.120027378e-16,-5.047513398e-17,-1.136539275e-16,-8.157186717e-19,-7.661474871e-18,2.21510006e-18,4.26853526e-16,5.230540541e-17,-1.067534882e-15,-1.720193195e-19,-3.363598603e-18,2.576175905e-18,7.01630278e-16,2.675051295e-18,-8.573416938e-16,1.890002067e-19,2.906534319e-17,2.172103573e-17,1.40953161e-16,-1.720193195e-19,1.145555822e-14,1.803745281e-13,-1.979662994e-15,-1.575589109e-35,5.020898899e-16,6.016891358e-33,-5.185871248e-30,1.145555822e-14,1.071309936e-13,-2.745869977e-15,4.808378671e-12,2.657326692e-18,-2.922341274e-18,-2.148015621e-09,4.198799824e-10,1.338539992e-09,-5.485795925e-13,-2.221542126e-11,-4.970850012e-12,-3.422944141e-09,-3.037494433e-10,1.22439262e-08,5.262391193e-15,3.877157531e-12,-1.016353758e-12,-4.301656615e-09,-1.484019924e-12,1.470775846e-10,-2.156971271e-12,3.174208919e-11,-3.787027629e-13,8.355386736e-14,-5.454664684e-17,8191634.507,8000000,-1.19467812e-07,4.084235053e-08,-5.642750055e-20,-6.235965481e-11,7.461857916e-13,-3800.935945,8.417295338e-12,-0.08000603221,-6.97210276e-13,6258.973362,986.8067487,18299.77021,46.57083855,11.89110272,-48.56678455,0,7.580756233e-11,-1961.32,1.090932937e-14,0
0.04,-2.221318089e-27,-1.714705812e-26,3.121488122e-29,1.570020674e-32,-7.319346667e-30,4.586351334e-31,1.106147268e-26,5.38668561e-18,-9.829112804e-18,1.084202172e-18,-3.304358014e-08,8.085118325e-29,-7.601701562e-33,1.481033672e-05,-1.20281797e-05,-8.526835027e-06,1.16771896e-06,8.79786839e-06,-3.97576808e-07,0.0001024236313,2.913235886e-05,-0.005467355296,8.490034603e-06,-1.700527273e-07,6.925088187e-06,0.003682626332,-1.255009567e-07,-7.080356756e-05,-3.485842347e-10,-5.803352822e-07,5.097838942e-05,-0.005382764754,8.490034603e-06,-1.075466629e-27,1.094090911e-26,9.629649722e-35,-7.877945547e-39,-6.018531076e-35,3.008445693e-36,6.842277658e-49,-1.650907148e-30,-3.808198287e-27,1.925929944e-34,-5.227668347e-19,-6.506126133e-34,1.344567114e-31,2.335321517e-16,-5.221534168e-17,-1.223573961e-16,-9.859484918e-19,-9.229606442e-18,1.98422253e-18,4.509762102e-16,4.179559351e-17,-1.275711374e-15,-1.988782467e-19,-4.320097743e-18,1.002904483e-18,8.050835233e-16,3.29788822e-18,-3.765422814e-16,5.08130924e-19,4.013192052e-17,8.552114888e-18,5.543185112e-17,-1.988782467e-19,1.145555822e-14,1.803745281e-13,-1.979662994e-15,-2.205824753e-35,5.020898899e-16,9.627026173e-33,-5.185871248e-30,1.145555822e-14,1.071309936e-13,-2.745869977e-15,4.807598283e-12,2.657326692e-18,-2.922341274e-18,-2.147667003e-09,4.197996496e-10,1.338356601e-09,-5.499481791e-13,-2.222804733e-11,-4.967458661e-12,-3.422257109e-09,-3.036757478e-10,1.224193329e-08,5.275622847e-15,3.870839963e-12,-1.013267781e-12,-4.30031169e-09,-1.48049775e-12,1.459411759e-10,-2.156405475e-12,3.179803508e-11,-3.542370443e-13,7.783074586e-14,-4.131499281e-17,8191634.507,8000000,-1.562792976e-07,5.342705911e-08,-5.642750055e-20,-6.236521937e-11,-4.943707209e-12,-3800.935945,8.399948104e-12,-0.08000603221,-7.08175602e-13,6258.973362,986.8067487,18299.77021,46.57083855,11.89110272,-48.56678455,0,7.087928602e-11,-1961.32,8.262998562e-15,0
0.05,-2.170490692e-27,-1.69754125e-26,3.121488122e-29,1.57002067e-32,-7.319346667e-30,4.586351372e-31,1.106147268e-26,5.38668561e-18,-9.829112804e-18,1.084202172e-18,-3.304358014e-08,8.085118198e-29,-6.929577402e-33,1.481033672e-05,-1.20281797e-05,-8.526835027e-06,1.16771896e-06,8.79786839e-06,-3.97576808e-07,0.0001024236313,2.913235886e-05,-0.005467355296,8.490034603e-06,-1.700527273e-07,6.925088187e-06,0.003682626332,-1.255009567e-07,-7.080356756e-05,-3.485842347e-10,-5.803352822e-07,5.097838942e-05,-0.005382764754,8.490034603e-06,1.456958299e-28,7.471076685e-27,9.629649722e-35,-7.877945547e-39,-6.018531076e-35,1.504222854e-36,6.842277658e-49,-1.650907148e-30,-1.870601829e-28,1.925929944e-34,-5.366002667e-19,-2.642041103e-34,1.344360697e-31,2.397118706e-16,-5.683325667e-17,-1.283571804e-16,-9.207748514e-19,-8.604178895e-18,2.14938469e-18,4.774729606e-16,3.786756884e-17,-1.362460479e-15,-2.752917763e-19,-3.17832736e-18,-6.160818832e-19,7.533487186e-16,3.576206751e-18,-6.031006222e-16,7.238757636e-19,4.814991286e-17,3.981695992e-18,3.885400179e-18,-2.752917763e-19,1.145555821e-14,1.803745281e-13,-1.979662994e-15,-2.836060396e-35,5.020898899e-16,1.263547185e-32,-5.185871248e-30,1.145555822e-14,1.071309936e-13,-2.745869977e-15,4.806700535e-12,2.657326692e-18,-2.922341274e-18,-2.147265958e-09,4.197078825e-10,1.338144696e-09,-5.515887319e-13,-2.224280332e-11,-4.964061683e-12,-3.421474943e-09,-3.036107272e-10,1.223964476e-08,5.242671922e-15,3.863557629e-12,-1.012121911e-12,-4.298930559e-09,-1.474322162e-12,1.452914226e-10,-2.155410676e-12,3.186867452e-11,-3.458677229e-13,7.52437385e-14,-7.426591757e-17,8191634.507,8000000,-1.364244054e-07,4.663928544e-08,-5.642750055e-20,-6.236858835e-11,-5.915152349e-12,-3800.935945,8.425968956e-12,-0.08000603221,-6.868865247e-13,6258.973362,986.8067487,18299.77021,46.57083855,11.89110272,-48.56678455,0,6.924699069e-11,-1961.32,1.485318351e-14,0
0.06,-2.147302989e-27,-1.690007956e-26,3.121488122e-29,1.570020666e-32,-7.319346667e-30,4.586351447e-31,1.106147268e-26,5.38668561e-18,-9.829112804e-18,1.084202172e-18,-3.304358014e-08,8.085118264e-29,-6.25757373e-33,1.481033672e-05,-1.20281797e-05,-8.526835027e-06,1.16771896e-06,8.79786839e-06,-3.97576808e-07,0.0001024236313,2.913235886e-05,-0.005467355296,8.490034603e-06,-1.700527273e-07,6.925088187e-06,0.003682626332,-1.255009567e-07,-7.080356756e-05,-3.485842347e-10,-5.803352822e-07,5.097838942e-05,-0.005382764754,8.490034603e-06,-3.741830741e-27,8.456280755e-27,9.629649722e-35,-7.877945547e-39,-6.018531076e-35,1.504222854e-36,6.842277658e-49,-1.645514544e-30,-2.299403198e-27,1.925929944e-34,-5.010176125e-19,-6.504245342e-34,1.344139234e-31,2.238162637e-16,-5.182251652e-17,-1.196871283e-16,-9.211924884e-19,-7.880344233e-18,1.859147755e-18,4.386825513e-16,3.631888806e-17,-1.3069387e-15,-4.345954696e-19,-3.788719554e-18,1.169677684e-18,8.115280371e-16,3.110814937e-18,-6.035872968e-16,8.482465789e-19,5.437175589e-17,4.835933238e-18,-3.119234051e-17,-4.345954696e-19,1.145555821e-14,1.803745281e-13,-1.979662994e-15,-3.46629604e-35,5.020898899e-16,1.383885012e-32,-5.185871248e-30,1.145555822e-14,1.071309936e-13,-2.745869977e-15,4.805831024e-12,2.657326692e-18,-2.922341274e-18,-2.146877527e-09,4.196186654e-10,1.337940122e-09,-5.531120491e-13,-2.22556657e-11,-4.961011693e-12,-3.420717979e-09,-3.035491119e-10,1.223743534e-08,5.275443349e-15,3.857664958e-12,-1.01091488e-12,-4.297588219e-09,-1.468822543e-12,1.441777834e-10,-2.154146115e-12,3.195067378e-11,-3.391538854e-13,7.985958924e-14,-4.149449073e-17,8191634.507,8000000,-1.29195923e-07,4.416809084e-08,-5.642750055e-20,-6.236276856e-11,-7.858042641e-12,-3800.935945,8.417295339e-12,-0.08000603221,-7.017710514e-13,6258.973362,986.8067487,18299.77021,46.57083855,11.89110272,-48.56678455,0,6.786581771e-11,-1961.32,8.298898145e-15,0
0.07,-2.072193827e-27,-1.680850236e-26,3.121488122e-29,1.570020662e-32,-7.319346667e-30,4.586351334e-31,1.106147268e-26,5.38668561e-18,-9.829112804e-18,1.084202172e-18,-3.304358014e-08,8.08511833e-29,-5.585696424e-33,1.481033672e-05,-1.20281797e-05,-8.526835027e-06,1.16771896e-06,8.79786839e-06,-3.97576808e-07,0.0001024236313,2.913235886e-05,-0.005467355296,8.490034603e-06,-1.700527273e-07,6.925088187e-06,0.003682626332,-1.255009567e-07,-7.080356756e-05,-3.485842347e-10,-5.803352822e-07,5.097838942e-05,-0.005382764754,8.490034603e-06,-8.544393206e-27,6.106399704e-28,9.629649722e-35,-7.877945547e-39,-6.018531076e-35,1.434930163e-44,6.842277658e-49,-1.645514544e-30,-1.595286292e-27,1.925929944e-34,-5.405194436e-19,-2.647683476e-34,1.344024036e-31,2.414626589e-16,-5.628873531e-17,-1.306204415e-16,-9.526148862e-19,-7.981769487e-18,1.674582083e-18,4.781106832e-16,3.591092834e-17,-1.424892673e-15,-3.231758952e-19,-1.644332405e-18,-4.794202715e-19,1.005517605e-15,2.849170061e-18,-8.322335718e-16,9.674377726e-19,6.191150845e-17,2.012544168e-18,-4.85768584e-17,-3.231758952e-19,1.145555818e-14,1.80374528e-13,-1.979662994e-15,-4.096531684e-35,5.020898899e-16,1.68472958e-32,-5.185871248e-30,1.145555822e-14,1.071309936e-13,-2.745869977e-15,4.805008482e-12,2.657326692e-18,-2.922341274e-18,-2.146510079e-09,4.195359829e-10,1.337747685e-09,-5.545223787e-13,-2.226821134e-11,-4.957919493e-12,-3.420017474e-09,-3.034939613e-10,1.223533695e-08,5.285264519e-15,3.853514251e-12,-1.010191563e-12,-4.296222603e-09,-1.464298741e-12,1.433503774e-10,-2.152688083e-12,3.204331271e-11,-3.359017833e-13,7.589787073e-14,-3.167332083e-17,8191634.507,8000000,-1.269557324e-07,4.340223897e-08,-5.642750055e-20,-6.236693382e-11,-8.413154148e-12,-3800.935945,8.408621721e-12,-0.08000603221,-7.094571602e-13,6258.973362,986.8067487,18299.77021,46.57083855,11.89110272,-48.56678455,0,6.72694021e-11,-1961.32,6.334664166e-15,0
0.08,-2.097242508e-27,-1.674357271e-26,3.121488122e-29,1.570020658e-32,-7.319346667e-30,4.586351334e-31,1.106147268e-26,5.38668561e-18,-9.829112804e-18,1.084202172e-18,-3.304358014e-08,8.085118493e-29,-4.913916096e-33,1.481033672e-05,-1.20281797e-05,-8.526835027e-06,1.16771896e-06,8.79786839e-06,-3.97576808e-07,0.0001024236313,2.913235886e-05,-0.005467355296,8.490034603e-06,-1.700527273e-07,6.925088187e-06,0.003682626332,-1.255009567e-07,-7.080356756e-05,-3.485842347e-10,-5.803352822e-07,5.097838942e-05,-0.005382764754,8.490034603e-06,-6.850742546e-27,1.243306725e-26,9.629649722e-35,-7.877945547e-39,-6.018531076e-35,6.016891372e-36,6.842277658e-49,-1.645514544e-30,2.42820477e-27,1.925929944e-34,-5.089671696e-19,-2.639219916e-34,1.343869811e-31,2.273675175e-16,-5.303442811e-17,-1.220996994e-16,-8.16449195e-19,-7.168455731e-18,1.876603642e-18,4.503395964e-16,3.429869877e-17,-1.3936787e-15,-2.282317838e-19,-1.697377511e-18,7.832268303e-19,8.568086957e-16,3.767125563e-18,-3.631844317e-16,1.007565891e-18,6.99771699e-17,2.61173226e-18,-9.770125813e-17,-2.282317838e-19,1.145555818e-14,1.80374528e-13,-1.979662994e-15,-4.726767328e-35,5.020898899e-16,2.166080889e-32,-5.185871248e-30,1.145555822e-14,1.071309936e-13,-2.745869977e-15,4.804167324e-12,2.657326692e-18,-2.922341274e-18,-2.146134314e-09,4.194501073e-10,1.337548821e-09,-5.559065618e-13,-2.228007411e-11,-4.955030587e-12,-3.419287933e-09,-3.034390776e-10,1.223319276e-08,5.281982248e-15,3.851614958e-12,-1.009489085e-12,-4.294823365e-09,-1.458501487e-12,1.424331953e-10,-2.151110769e-12,3.214924809e-11,-3.340987079e-13,7.353235839e-14,-3.495559194e-17,8191634.507,8000000,-1.26876059e-07,4.33750011e-08,-5.642750055e-20,-6.236710192e-11,-7.996820512e-12,-3800.935945,8.417295339e-12,-0.08000603221,-7.027850358e-13,6258.973362,986.8067487,18299.77021,46.57083855,11.89110272,-48.56678455,0,6.692410886e-11,-1961.32,6.991118388e-15,0
0.09,-2.124168393e-27,-1.655506558e-26,3.121488122e-29,1.570020655e-32,-7.319346667e-30,4.586351523e-31,1.106147268e-26,5.38668561e-18,-9.829112804e-18,1.084202172e-18,-3.304358014e-08,8.085118657e-29,-4.242259195e-33,1.481033672e-05,-1.20281797e-05,-8.526835027e-06,1.16771896e-06,8.79786839e-06,-3.97576808e-07,0.0001024236313,2.913235886e-05,-0.005467355296,8.490034603e-06,-1.700527273e-07,6.925088187e-06,0.003682626332,-1.255009567e-07,-7.080356756e-05,-3.485842347e-10,-5.803352822e-07,5.097838942e-05,-0.005382764754,8.490034603e-06,-5.331001049e-28,-1.70262376e-27,9.629649722e-35,-7.877945547e-39,-6.018531076e-35,1.504222854e-36,6.842277658e-49,-1.645514544e-30,2.428267941e-27,1.925929944e-34,-4.799732506e-19,-2.630756357e-34,1.343635652e-31,2.144152533e-16,-5.032359059e-17,-1.168016239e-16,-8.742137161e-19,-7.476301804e-18,1.873816216e-18,4.270496576e-16,3.050894458e-17,-1.320798965e-15,-1.582252426e-19,-1.320863985e-18,1.392213704e-18,1.011998608e-15,3.095410795e-18,3.3882105e-16,1.113438739e-18,7.444266949e-17,6.562408902e-19,-9.865659071e-17,-1.582252426e-19,1.145555817e-14,1.80374528e-13,-1.979662994e-15,-5.357002971e-35,5.020898899e-16,2.466925457e-32,-5.185871248e-30,1.145555822e-14,1.071309936e-13,-2.745869977e-15,4.803347683e-12,2.657326692e-18,-2.922341274e-18,-2.145768161e-09,4.193667353e-10,1.337356555e-09,-5.572572502e-13,-2.229217237e-11,-4.951957817e-12,-3.418581802e-09,-3.033881114e-10,1.223111241e-08,5.308112202e-15,3.849794173e-12,-1.008355386e-12,-4.293504303e-09,-1.453847312e-12,1.416133925e-10,-2.149408078e-12,3.22646475e-11,-3.348955574e-13,8.020469407e-14,-8.825637432e-18,8191634.507,8000000,-1.059316792e-07,3.62147653e-08,-5.642750055e-20,-6.237338265e-11,-8.13559838e-12,-3800.935945,8.425968957e-12,-0.08000603221,-7.169949235e-13,6258.973362,986.8067487,18299.77021,46.57083855,11.89110272,-48.56678455,0,6.701827974e-11,-1961.32,1.765127486e-15,0
